NAME,VERSION,00_content,01_permissions,02_symlink_broken,03_symlink_basic,10_mtime,11_comment,12_symlink_cycle,13_setuid_setgid,20_sticky,21_hidden,22_access_control_list,23_ownership,30_ascii_names,31_uchg,32_finderinfo_icon,33_finderinfo_color,34_dot_underscore,40_xattr_ordering,41_symlink_hidden,42_xattr_symlink,50_hardlink_file,51_symlink_permissions,52_char,53_block,60_alias,61_fifo,62_resource_fork,70_extended_attributes,71_lutimes,72_birthtime,80_epoch,81_hardlink_fifo,82_symlink_acl,90_hardlink_dir,91_bkuptime,SCORE%
46_xfile,2.1.0.6,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 2,CODE 2,0
47_opcoders,0.0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 2,CODE 2,0
48_midnight_commander,NOT INSTALLED,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,0
48_transmit,4.1.5,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 0,CODE 2,CODE 0,CODE 0,CODE 0,CODE 0,CODE 0,CODE 2,CODE 2,CODE 2,0
50_rsync,rsync  2.6.9   29,OK,OK,OK,OK,OK,CODE 2,OK,OK,OK,OK,OK,OK,OK,FAIL A,OK,CODE 2,FAIL A,OK,CODE 0,CODE 2,CODE 0,OK,CODE 0,CODE 0,CODE 2,CODE 0,CODE 2,FAIL A,OK,FAIL A,FAIL AB,CODE 0,CODE 2,CODE 2,CODE 2,45
51_xbup,NOT INSTALLED,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,0
60_xar,xar 1.6dev,OK,OK,OK,OK,OK,CODE 2,OK,FAIL ABCD,OK,OK,OK,FAIL B,CODE 0,OK,OK,CODE 2,FAIL A,FAIL AB,OK,CODE 2,OK,OK,OK,OK,CODE 2,OK,CODE 2,FAIL A,FAIL AB,FAIL A,FAIL AB,FAIL A,CODE 2,CODE 2,CODE 2,48
70_zip_unzip,"Zip 3.0 (July 5th 2008)
UnZip 5.52 of 28 February 2005",OK,OK,CODE 1,FAIL ABCD,OK,CODE 2,CODE 1,OK,FAIL A,FAIL ABC,FAIL ABC,FAIL AB,FAIL X,FAIL A,FAIL AB,CODE 2,OK,FAIL AB,FAIL A,CODE 2,FAIL AB,FAIL B,FAIL AB,FAIL AB,CODE 2,CODE 0,CODE 2,FAIL ABC,FAIL A,FAIL A,FAIL ABCD,CODE 0,CODE 2,CODE 2,CODE 2,14
71_rar_unrar,NOT INSTALLED,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,0
72_7zip,NOT INSTALLED,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,CODE 2,0
80_ruby_fileutils,ruby 1.8.7 (2010-01-10),OK,CODE 0,CODE 0,CODE 0,OK,CODE 2,CODE 0,OK,OK,FAIL ABC,CODE 0,CODE 0,OK,CODE 0,FAIL AB,CODE 2,OK,FAIL AB,FAIL A,CODE 2,FAIL AB,FAIL AB,CODE 0,CODE 0,CODE 2,CODE 0,CODE 2,FAIL ABC,FAIL AB,FAIL A,FAIL AB,CODE 0,CODE 2,CODE 2,CODE 2,17
81_perl_dircopy,"perl 5 ersion 12, subversion 3 (v5.12.3)
ac_perl_copy 1.0",OK,OK,OK,OK,FAIL A,CODE 2,OK,OK,OK,FAIL ABC,FAIL ABC,FAIL AB,OK,FAIL A,FAIL AB,CODE 2,OK,FAIL AB,FAIL A,CODE 2,FAIL AB,FAIL B,FAIL AB,FAIL AB,CODE 2,CODE 0,CODE 2,FAIL ABC,FAIL AB,FAIL A,FAIL ABCD,CODE 0,CODE 2,CODE 2,CODE 2,25
82_python_shutil,"Python 2.7.1
ac_python_copy.py 1.0",OK,OK,CODE 1,FAIL ABCD,OK,CODE 2,CODE 0,OK,OK,FAIL ABC,FAIL ABC,FAIL AB,OK,FAIL A,FAIL AB,CODE 2,OK,FAIL AB,FAIL A,CODE 2,FAIL AB,FAIL B,FAIL AB,FAIL AB,CODE 2,CODE 0,CODE 2,FAIL ABC,FAIL A,FAIL A,FAIL AB,CODE 0,CODE 2,CODE 2,CODE 2,20
